uid,kind,mobId,speciesId,locationId,subzoneId,spaceId,level,blender_x,blender_y,blender_z,runtime_x,runtime_z,actor_radius,runtime_enabled
wv3:L04:rb-001,major,RB-001,mini,L04,L04-C,surface,60,-561,-531,252,-561,531,2.05,false
wv3:L03:rb-002,major,RB-002,big,L03,L03-C,surface,50,-171,-426,122,-171,426,1.4,false
wv3:L09:rb-003,major,RB-003,rift_boss,L09,L09-C,surface,80,549,-492,216.004,549,492,1.65,false
wf:great_cave:cave_boss:000,major,RB-004,cave_boss,L07,L07-A,great_cave,40,20,-100,-1.498,20,100,1.65,false
wv3:L01:rb-101,mini,RB-101,v3_mini_01,L01,L01-B,surface,18,-573,315,35.332,-573,-315,1.1,false
wv3:L02:rb-102,mini,RB-102,v3_mini_02,L02,L02-B,surface,10,-210,174,59.56,-210,-174,1.1,false
wv3:L03:rb-103,mini,RB-103,v3_mini_03,L03,L03-B,surface,26,-621,-162,62.417,-621,162,1.1,false
wv3:L04:rb-104,mini,RB-104,v3_mini_04,L04,L04-C,surface,64,-573,-585,251.898,-573,585,1.1,false
wv3:L05:rb-105,mini,RB-105,v3_mini_05,L05,L05-B,mine,34,36,-261,-3.608,36,261,1.1,false
wv3:L06:rb-106,mini,RB-106,v3_mini_06,L06,L06-A,surface,28,51,-237,50.152,51,237,1.1,false
wv3:L07:rb-107,mini,RB-107,v3_mini_07,L07,L07-B,great_cave,38,39,-330,-4.68,39,330,1.1,false
wv3:L08:rb-108,mini,RB-108,v3_mini_08,L08,L08-B,surface,58,687,-117,98.82,687,117,1.1,false
wv3:L09:rb-109,mini,RB-109,v3_mini_09,L09,L09-C,surface,82,549,-609,277.901,549,609,1.1,false
wv3:L10:rb-110,mini,RB-110,v3_mini_10,L10,L10-C,surface,50,-39,585,22.223,-39,-585,1.1,false
wv3:L11:rb-111,mini,RB-111,v3_mini_11,L11,L11-B,surface,46,-549,561,13.989,-549,-561,1.1,false
wv3:L12:rb-112,mini,RB-112,v3_mini_12,L12,L12-C,surface,90,684,606,21.374,684,-606,1.1,false
wv3:L01-A:MOB-02:000,ordinary,MOB-02,wolf,L01,L01-A,surface,5,-516,396,33.989,-516,-396,1.615,false
wv3:L01-A:MOB-02:001,ordinary,MOB-02,wolf,L01,L01-A,surface,5,-513,393,34.33,-513,-393,1.615,false
wv3:L01-A:MOB-02:002,ordinary,MOB-02,wolf,L01,L01-A,surface,5,-519,393,33.064,-519,-393,1.615,false
wv3:L01-A:MOB-02:003,ordinary,MOB-02,wolf,L01,L01-A,surface,5,-513,399,33.495,-513,-399,1.615,false
wv3:L01-A:MOB-02:004,ordinary,MOB-02,wolf,L01,L01-A,surface,6,-519,399,33.014,-519,-399,1.615,false
wv3:L01-A:MOB-02:005,ordinary,MOB-02,wolf,L01,L01-A,surface,6,-504,396,34.513,-504,-396,1.615,false
wv3:L01-A:MOB-02:006,ordinary,MOB-02,wolf,L01,L01-A,surface,6,-507,399,33.644,-507,-399,1.615,false
wv3:L01-A:MOB-02:007,ordinary,MOB-02,wolf,L01,L01-A,surface,6,-501,399,33.73,-501,-399,1.615,false
wv3:L01-A:MOB-02:008,ordinary,MOB-02,wolf,L01,L01-A,surface,7,-510,396,34.459,-510,-396,1.615,false
