id,location_id,kind,x,y,z,width,height,depth,reference_x,reference_y,confidence,status
V01,L01,civic_house,-489,35,334,14,13,18,304,914,high,authored-placement-pending-mesh
V02,L01,house,-528,35,315,10,9,14,234,888,high,authored-placement-pending-mesh
V03,L01,house,-525,35,351,10,7,12,243,926,high,authored-placement-pending-mesh
V04,L01,house,-447,35,325,13,8,10,371,895,high,authored-placement-pending-mesh
V05,L01,shed,-427,35,346,8,5,9,402,916,medium,authored-placement-pending-mesh
V06,L01,shed,-498,35,290,8,5,10,286,857,medium,authored-placement-pending-mesh
V07,L01,house,-465,35,288,9,7,11,346,855,medium,authored-placement-pending-mesh
V08,L01,shed,-480,35,370,8,5,7,327,951,medium,authored-placement-pending-mesh
V01_TOWER,L01,tower,-489,35,323,6,18,6,327,875,high,authored-placement-pending-mesh
FORT,L02,fortress,-100,70,150,166,24,148,647,739,high,authored-placement-pending-mesh
F_KEEP,L02,house,-128,70,118,14,12,22,598,696,high,authored-placement-pending-mesh
F_HALL,L02,house,-78,70,116,14,12,22,691,727,high,authored-placement-pending-mesh
F_STABLE,L02,house,-152,70,153,14,12,22,553,739,high,authored-placement-pending-mesh
F_STORE,L02,house,-62,70,168,14,12,22,696,754,high,authored-placement-pending-mesh
ANCIENT_TREE,L03,ancient_tree,-170,122,-450,42,48,40,610,224,high,authored-placement-pending-mesh
SNOW_SUMMIT_W,L04,peak,-675,280,-585,140,75,135,144,100,high,authored-placement-pending-mesh
SNOW_SUMMIT_E,L04,peak,-430,272,-613,110,66,110,291,95,high,authored-placement-pending-mesh
SNOW_ARENA,L04,arena,-540,252,-550,74,1,68,166,150,high,authored-placement-pending-mesh
MINE_PORTAL,L05,mine_portal,35,125,-420,18,16,12,786,255,high,authored-placement-pending-mesh
MINE_UPPER,L05,mine_portal,64,155,-490,10,10,8,820,194,medium,authored-placement-pending-mesh
MINE_SCAFFOLD,L05,scaffold,11,125,-434,24,17,12,749,263,high,authored-placement-pending-mesh
CAVE_MOUTH,L07,cave_mouth,245,48,-280,42,36,32,945,387,high,authored-placement-pending-mesh
SH01,L06,house,409,48,58,12,10,12,1054,618,high,authored-placement-pending-mesh
SH02,L06,house,442,48,68,10,7,14,1106,619,high,authored-placement-pending-mesh
SH03,L06,house,467,48,24,10,9,12,1142,586,high,authored-placement-pending-mesh
SH04,L06,house,387,48,29,8,7,11,1020,603,high,authored-placement-pending-mesh
SH05,L06,house,468,48,61,8,6,9,1160,617,high,authored-placement-pending-mesh
SH_TOWER,L06,tower,433,48,5,8,20,8,1095,563,high,authored-placement-pending-mesh
PIER,L06,pier,372,41.2,25,9,1.2,42,975,608,high,authored-placement-pending-mesh
BRIDGE_LAKE,L06,bridge,308,48,144,66,12,8,929,694,high,authored-placement-pending-mesh
BRIDGE_GRAVES,L12,bridge,321,25,438,64,8,6,935,904,medium,authored-placement-pending-mesh
SANCTUARY,L08,sanctuary,620,80,-100,96,38,88,1300,524,high,authored-placement-pending-mesh
VOLCANO_RIM,L09,crater,545,216,-490,450,78,400,1232,172,high,authored-placement-pending-mesh
RUIN_TOWER,L10,ruined_tower,38,30,397,18,26,16,804,981,high,authored-placement-pending-mesh
R01,L10,ruined_house,-35,30,439,14,8,12,698,1021,high,authored-placement-pending-mesh
R02,L10,ruined_house,-23,30,397,14,8,12,724,980,high,authored-placement-pending-mesh
R03,L10,ruined_house,63,30,436,14,8,12,858,1016,high,authored-placement-pending-mesh
R04,L10,ruined_house,24,30,466,14,8,12,794,1058,high,authored-placement-pending-mesh
GRAVE_CHURCH,L12,church,660,32,280,32,55,64,1373,859,high,authored-placement-pending-mesh
GRAVE_GATE,L12,ruined_gate,590,27,495,24,18,6,1371,1060,high,authored-placement-pending-mesh
GRAVE_STATUE,L12,statue,422,28,498,8,22,8,1093,1082,high,authored-placement-pending-mesh
C01,L12,crypt,472,28,310,10,10,13,1114,895,high,authored-placement-pending-mesh
C02,L12,crypt,558,28,272,10,10,13,1248,842,high,authored-placement-pending-mesh
C03,L12,crypt,404,28,405,10,10,13,1052,961,high,authored-placement-pending-mesh
C04,L12,crypt,590,28,443,10,10,13,1324,1000,high,authored-placement-pending-mesh
C05,L12,crypt,655,28,530,10,10,13,1425,1100,high,authored-placement-pending-mesh
